xkcd_color,xkcd_color_hex,xkcd_r,xkcd_g,xkcd_b,design_color,design_color_hex,design_r,design_g,design_b,common_color,common_color_hex,common_r,common_g,common_b,color_family,color_type,color_or_neutral
light blue,#95d0fc,149,208,252,french blue,#8ec8fd,142,200,253,hydrangea,#94b5fc,148,181,252,violet blue,pastel,color
light blue green,#7efbb3,126,251,179,seafoam,#7dfbac,125,251,172,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light blue grey,#b7c9e2,183,201,226,blue grey,#b1c5dd,177,197,221,indigo blue,#5a82a8,90,130,168,blue,muted color,color
light bluish green,#76fda8,118,253,168,dark mintergreen,#65fbae,101,251,174,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light bright green,#53fe5c,83,254,92,blue neon green,#5bfa52,91,250,82,neon lime sherbet,#8cfb7e,140,251,126,blue green,neon color,color
light brown,#ad8150,173,129,80,warm khaki,#ab824c,171,130,76,mocha,#aa8556,170,133,86,khaki,medium neutral,neutral
light burgundy,#a8415b,168,65,91,dusty red,#b6455f,182,69,95,dusty red,#b6455f,182,69,95,violet red,muted color,color
light cyan,#acfffc,172,255,252,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
light eggplant,#894585,137,69,133,faded eggplant,#8c497d,140,73,125,muted purple,#8c588e,140,88,142,red violet,muted color,color
light forest green,#4f9153,79,145,83,irish green,#109438,16,148,56,primary green,#39a332,57,163,50,green,saturated color,color
light gold,#fddc5c,253,220,92,soft yellow,#f6d96a,246,217,106,soft yellow,#f5e667,245,230,103,yellow,tinted color,color
light grass green,#9af764,154,247,100,kiwi,#96ee4c,150,238,76,soft green,#8ddd79,141,221,121,green,tinted color,color
light green,#96f97b,150,249,123,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
light green blue,#56fca2,86,252,162,dark mintergreen,#65fbae,101,251,174,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light greenish blue,#63f7b4,99,247,180,dark mintergreen,#65fbae,101,251,174,mint green,#52ec9c,82,236,156,blue green,tinted color,color
light grey,#d8dcd6,216,220,214,light grey,#c1c3bb,193,195,187,light grey,#c1c3bb,193,195,187,grey,light neutral,neutral
light grey blue,#9dbcd4,157,188,212,light denim blue,#9dbcd4,157,188,212,light blue,#88c4ec,136,196,236,blue,pastel,color
light grey green,#b7e1a1,183,225,161,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
light indigo,#6d5acf,109,90,207,iris,#675bcc,103,91,204,bright purple,#5636c4,86,54,196,blue violet,saturated color,color
light khaki,#e6f2a2,230,242,162,neon lemon lime,#d7e18d,215,225,141,neon lime,#c1f529,193,245,41,green yellow,neon color,color
light lavendar,#efc0fe,239,192,254,pale lavender,#f0c9fd,240,201,253,warm lavender,#f0c9fd,240,201,253,red violet,pastel,color
light lavender,#dfc5fe,223,197,254,lilac,#d3b5f0,211,181,240,lilac,#cda7f7,205,167,247,purple,pastel,color
light light blue,#cafffb,202,255,251,pale aqua,#c9fefb,201,254,251,light aqua,#b6fbf6,182,251,246,green blue,pastel,color
light light green,#c8ffb0,200,255,176,aloe,#b8da8e,184,218,142,aloe,#b8da8e,184,218,142,green,pastel,color
light lilac,#edc8ff,237,200,255,pale lavender,#f0c9fd,240,201,253,warm lavender,#f0c9fd,240,201,253,red violet,pastel,color
light lime,#aefd6c,174,253,108,neon green,#53f72c,83,247,44,neon green,#53f72c,83,247,44,green,neon color,color
light lime green,#b9ff66,185,255,102,hospital green,#9bf78d,155,247,141,soft green,#8ddd79,141,221,121,green,tinted color,color
light magenta,#fa5ff7,250,95,247,faded magenta,#ee42e2,238,66,226,muted magenta,#e458d3,228,88,211,red violet,tinted color,color
